# Ne(3P) + OCS interaction potential, (2)^3A' surface, from Proj-EOM-EE-CCSD / d-aug-cc-pVTZ  
# Potential expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4    
# All data are in atomic units (Bohr / Hartree)
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
 26.42   -1.470E-06   -1.032E-07   -6.628E-07    1.945E-07    2.731E-07 
 26.49   -1.447E-06   -9.617E-08   -6.475E-07    1.916E-07    2.771E-07 
 26.57   -1.425E-06   -8.992E-08   -6.323E-07    1.893E-07    2.805E-07 
 26.65   -1.402E-06   -8.455E-08   -6.177E-07    1.877E-07    2.834E-07 
 26.72   -1.379E-06   -8.008E-08   -6.033E-07    1.868E-07    2.856E-07 
 26.80   -1.356E-06   -7.650E-08   -5.894E-07    1.863E-07    2.872E-07 
 26.87   -1.334E-06   -7.377E-08   -5.757E-07    1.862E-07    2.883E-07 
 26.95   -1.311E-06   -7.183E-08   -5.628E-07    1.863E-07    2.887E-07 
 27.02   -1.289E-06   -7.059E-08   -5.504E-07    1.864E-07    2.887E-07 
 27.10   -1.267E-06   -6.997E-08   -5.384E-07    1.864E-07    2.882E-07 
 27.17   -1.245E-06   -6.986E-08   -5.270E-07    1.861E-07    2.874E-07 
 27.25   -1.224E-06   -7.019E-08   -5.160E-07    1.854E-07    2.862E-07 
 27.33   -1.203E-06   -7.086E-08   -5.056E-07    1.841E-07    2.848E-07 
 27.40   -1.183E-06   -7.182E-08   -4.958E-07    1.823E-07    2.832E-07 
 27.48   -1.163E-06   -7.300E-08   -4.864E-07    1.799E-07    2.814E-07 
 27.55   -1.143E-06   -7.437E-08   -4.776E-07    1.770E-07    2.793E-07 
 27.63   -1.124E-06   -7.591E-08   -4.692E-07    1.736E-07    2.771E-07 
